organization_name,startup_uuid,founder_name,linkedin_url,is_scrapped,is_scrapped_profile
The Graide Network,c9cd50c7-fc51-be01-2562-6a5684798bd6,Blair Pircon,https://www.linkedin.com/in/blairmpircon,1,0
The Graide Network,c9cd50c7-fc51-be01-2562-6a5684798bd6,Elizabeth Nell,https://www.linkedin.com/in/enell,1,0
Nanigans,c9d53403-9619-4ba5-2208-c0036eb06439,Claude Denton,https://www.linkedin.com/in/claude-denton-a9b2561,1,0
Nanigans,c9d53403-9619-4ba5-2208-c0036eb06439,Ric Calvillo,https://www.linkedin.com/in/ric-calvillo-04078a,1,0
Compellon,cbfa1343-df97-b5b3-65b5-b1f4eaf6e9d9,Ken Charhut,https://www.linkedin.com/in/ken-charhut-95a35a7,1,0
Compellon,cbfa1343-df97-b5b3-65b5-b1f4eaf6e9d9,Mark Pollard,https://www.linkedin.com/in/markpollard2,1,0
Compellon,cbfa1343-df97-b5b3-65b5-b1f4eaf6e9d9,Nikolai Liachenko,https://www.linkedin.com/in/nikolai-liachenko-lyashenko-0234a9b,1,0
NowThis,cc24f18b-7ff5-0366-2b86-3bc5f194c215,Brian Bedol,https://www.linkedin.com/in/brianbedol,1,0
NowThis,cc24f18b-7ff5-0366-2b86-3bc5f194c215,Drake Martinet,https://www.linkedin.com/in/drakemartinet,1,0
NowThis,cc24f18b-7ff5-0366-2b86-3bc5f194c215,Eric Hippeau,https://www.linkedin.com/in/erichippeau,1,0
