id,name
85775,Abramów
85776,Adamów
85777,Adamówka
85778,Albigowa
85779,Aleksandrów
85780,Aleksandrów
85781,Aleksandrów Kujawski
85782,Aleksandrów Łódzki
85783,Alwernia
85784,Andrespol
85785,Andrychów
85786,Annopol
85787,Augustów
85788,Babiak
85789,Babica
85790,Babice
85791,Babimost
85792,Baborów
85793,Baboszewo
85794,Bachowice
85795,Balice
85796,Baligród
85797,Balin
85798,Banie
85799,Banie Mazurskie
85800,Banino
85801,Baniocha
85802,Baranowo
85803,Baranowo
85804,Baranów
85805,Baranów
85806,Baranów Sandomierski
85807,Barciany
85808,Barcin
85809,Barczewo
85810,Bardo
85811,Barlinek
85812,Bartniczka
85813,Bartoszyce
85814,Baruchowo
85815,Barwałd Górny
85816,Barwałd Średni
85817,Barwice
85818,Batorz
85819,Baćkowice
85820,Bałtów
85821,Bażanowice
85822,Bedlno
85823,Bejsce
85824,Bemowo
85825,Besko
85826,Bestwina
85827,Bestwinka
85828,Bełchatów
85829,Bełk
85830,Bełsznica
85831,Bełżec
85832,Bełżyce
85833,Biała
85834,Biała
85835,Biała Piska
85836,Biała Podlaska
85837,Biała Rawska
85838,Białaczów
85839,Białe Błota
85840,Białka
85841,Białka Tatrzańska
85842,Białobrzegi
85843,Białobrzegi
85844,Białogard
85845,Białowieża
85846,Białołeka
85847,Białośliwie
85848,Biały Bór
85849,Biały Dunajec
85850,Białystok
85851,Biecz
85852,Bielany
85853,Bielany Wrocławskie
85854,Bielawa
85855,Bielawy
85856,Bielice
85857,Bieliny
85858,Bieliny
85859,Bielsk
85860,Bielsk Podlaski
85861,Bielsko-Biala
85862,Bielsko-Biała
85863,Bieniewice
85864,Bierawa
85865,Bierdzany
85866,Bierutów
85867,Bieruń
85868,Bierzwnik
85869,Bieńkówka
85870,Bieżuń
85871,Binarowa
85872,Bircza
85873,Biskupice Radłowskie
85874,Biskupiec
85875,Biskupin
85876,Biszcza
85877,Bisztynek
85878,Biłgoraj
85879,Blachownia
85880,Bledzew
85881,Blizanów
85882,Blizne
85883,Bliżyn
85884,Bobolice
85885,Bobowa
85886,Bobowo
85887,Bobrowice
85888,Bobrowniki
85889,Bobrowniki
85890,Bobrowniki
85891,Bobrowo
85892,Bochnia
85893,Bodzanów
85894,Bodzentyn
85895,Bogatynia
85896,Bogdaniec
85897,Bogoria
85898,Boguchwała
85899,Boguszów-Gorce
85900,Boguty-Pianki
85901,Bojadła
85902,Bojano
85903,Bojanowo
85904,Bojanowo Stare
85905,Bojanów
85906,Bojszowy
85907,Bojszowy Nowe
85908,Bolechowice
85909,Boleszkowice
85910,Bolesław
85911,Bolesławiec
85912,Bolesławiec
85913,Bolimów
85914,Bolków
85915,Bolszewo
85916,Bolęcin
85917,Boniewo
85918,Borek
85919,Borek Wielkopolski
85920,Borki
85921,Borkowice
85922,Borne Sulinowo
85923,Boronów
85924,Borowa
85925,Borowie
85926,Borowno
85927,Borucin
85928,Borzechów
85929,Borzytuchom
85930,Borzęcin
85931,Borzęta
85932,Bozkow
85933,Boćki
85934,Bralin
85935,Branice
85936,Braniewo
85937,Brańsk
85938,Brańszczyk
85939,Brdów
85940,Brenna
85941,Brenno
85942,Brochów
85943,Brodnica
85944,Brodnica
85945,Brody
85946,Brody
85947,Brody
85948,Brody-Parcele
85949,Brodła
85950,Brojce
85951,Brok
85952,Broniszewice
85953,Bronów
85954,Brudzew
85955,Brudzeń Duży
85956,Brusy
85957,Brwinów
85958,Brzeg
85959,Brzeg Dolny
85960,Brzesko
85961,Brzeszcze
85962,Brzezinka
85963,Brzeziny
85964,Brzeziny
85965,Brzeziny Śląskie
85966,Brześć Kujawski
85967,Brzeźnica
85968,Brzeźnica
85969,Brzeźnio
85970,Brzostek
85971,Brzozie
85972,Brzozów
85973,Brzuze
85974,Brzyska
85975,Brzóza Królewska
85976,Brzóza Stadnicka
85977,Brzączowice
85978,Brójce
85979,Brójce
85980,Brąszewice
85981,Buczek
85982,Buczkowice
85983,Budziszewice
85984,Budzyń
85985,Budzów
85986,Budzów
85987,Bujaków
85988,Buk
85989,Bukowiec
85990,Bukowina Tatrzańska
85991,Bukowno
85992,Bukowsko
85993,Bulkowo
85994,Bulowice
85995,Burzenin
85996,Busko-Zdrój
85997,Bychawa
85998,Byczyna
85999,Bydgoszcz
86000,Bystra
86001,Bystra
86002,Bystrzyca
86003,Bystrzyca Kłodzka
86004,Bytnica
86005,Bytom
86006,Bytom Odrzański
86007,Bytoń
86008,Bytów
86009,Bąków
86010,Bębło
86011,Bęczarka
86012,Będków
86013,Będzin
86014,Błaszki
86015,Błażowa
86016,Błonie
86017,Błędów
86018,Cedry Wielkie
86019,Cedynia
86020,Cegłów
86021,Cekcyn
86022,Celestynów
86023,Ceranów
86024,Cerkwica
86025,Cewice
86026,Chałupki
86027,Chełm
86028,Chełm Śląski
86029,Chełmek
86030,Chełmiec
86031,Chełmno
86032,Chełmża
86033,Chlewiska
86034,Chmielnik
86035,Chmielnik
86036,Chmielno
86037,Chmielowice
86038,Choceń
86039,Chocianów
86040,Chociwel
86041,Chocz
86042,Choczewo
86043,Chocznia
86044,Chodecz
86045,Chodel
86046,Chodzież
86047,Chodów
86048,Chojna
86049,Chojnice
86050,Chojnów
86051,Chorkówka
86052,Choroszcz
86053,Choroń
86054,Chorzele
86055,Chorzów
86056,Choszczno
86057,Chotcza
86058,Chrostkowo
86059,Chrościna
86060,Chruszczobród
86061,Chrzanów
86062,Chrzanów
86063,Chrzypsko Wielkie
86064,Chrząstowice
86065,Chróścice
86067,Chwaszczyno
86068,Chwałowice
86069,Chybie
86070,Chynów
86071,Chyżne
86072,Chąśno
86073,Chęciny
86074,Chłapowo
86075,Ciasna
86076,Ciechanowiec
86077,Ciechanów
86078,Ciechocin
86079,Ciechocinek
86080,Ciechów
86081,Cielmice
86082,Cielądz
86083,Ciepielów
86084,Cieplice Śląskie Zdrój
86085,Ciepłowody
86086,Cieszanów
86087,Cieszków
86088,Cieszyn
86089,Cisek
86090,Cisiec
86091,Cisna
86092,Cisownica
86093,Cięcina
86094,Ciężkowice
86095,Cmolas
86096,Cybinka
86097,Cyców
86098,Cynków
86099,Czajków
86100,Czaniec
86101,Czaplinek
86102,Czapury
86103,Czarków
86104,Czarna
86105,Czarna Białostocka
86106,Czarna Dąbrówka
86107,Czarna Góra
86108,Czarna Woda
86109,Czarne
86110,Czarnia
86111,Czarnków
86112,Czarnochowice
86113,Czarnocin
86114,Czarnocin
86115,Czarnowąsy
86116,Czarnożyły
86117,Czarny Bór
86118,Czarny Dunajec
86119,Czastary
86120,Czaszyn
86121,Czchów
86122,Czechowice-Dziedzice
86123,Czeladź
86124,Czemierniki
86125,Czempiń
86126,Czeremcha
86127,Czermin
86128,Czermin
86129,Czernica
86130,Czernica
86131,Czernice Borowe
86132,Czernichów
86133,Czernichów
86134,Czerniejewo
86135,Czerniewice
86136,Czerniewice
86137,Czernikowo
86138,Czersk
86139,Czerwieńsk
86140,Czerwin
86141,Czerwionka-Leszczyny
86142,Czerwińsk Nad Wisłą
86143,Czerwonak
86144,Czerwonka
86145,Czerwonka
86146,Czudec
86147,Czułów
86148,Czyżew
86149,Czyżowice
86150,Częstochowa
86151,Człopa
86152,Człuchów
86153,Dalachów
86154,Daleszyce
86155,Dalików
86156,Damasławek
86157,Damnica
86158,Darłowo
86159,Daszewice
86160,Daszyna
86161,Debrzno
86162,Deszczno
86163,Dmosin
86164,Dobczyce
86165,Dobiegniew
86166,Dobieszowice
86167,Dobra
86168,Dobra
86169,Dobra
86170,Dobre
86171,Dobre
86172,Dobre Miasto
86173,Dobrodzień
86174,Dobroszyce
86175,Dobroń
86176,Dobrzany
86177,Dobrzeń Wielki
86178,Dobrzyca
86179,Dobrzyniewo Duże
86180,Dobrzyń nad Wisłą
86181,Dolice
86182,Dolsk
86183,Domanice
86184,Domaniewice
86185,Domaradz
86186,Domaszowice
86187,Domaszowice
86188,Dominowo
86189,Dopiewo
86190,Dorohusk
86191,Doruchów
86192,Dołhobyczów
86193,Drawno
86194,Drawsko
86195,Drawsko Pomorskie
86196,Drelów
86197,Drezdenko
86198,Drobin
86199,Drogomyśl
86200,Drohiczyn
86201,Drużbice
86202,Drzewica
86203,Drzycim
86204,Dubiecko
86205,Dubienka
86206,Duczki
86207,Dukla
86208,Duszniki
86209,Duszniki-Zdrój
86210,Dwikozy
86211,Dydnia
86212,Dygowo
86213,Dynów
86214,Dywity
86215,Dziadowa Kłoda
86216,Działdowo
86217,Działoszyce
86218,Działoszyn
86219,Dziekanów Leśny
86220,Dziemiany
86221,Dziergowice
86222,Dzierzgowo
86223,Dzierzgoń
86224,Dzierzążnia
86225,Dzierżoniów
86226,Dziewin
86227,Dziećmorowice
86228,Dzikowiec
86229,Dzików Stary
86230,Dziwnów
86231,Dzięgielów
86232,Dzwola
86233,Dąbie
86234,Dąbie
86235,Dąbie
86236,Dąbrowa
86237,Dąbrowa
86238,Dąbrowa Białostocka
86239,Dąbrowa Chełmińska
86240,Dąbrowa Górnicza
86241,Dąbrowa Tarnowska
86242,Dąbrowa Zielona
86243,Dąbrowice
86244,Dąbrówka
86245,Dąbrówno
86246,Dębe Wielkie
86247,Dębica
86248,Dęblin
86249,Dębnica Kaszubska
86250,Dębno
86251,Dębno
86252,Dębno
86253,Dębowa Kłoda
86254,Dębowa Łąka
86255,Dębowiec
86256,Dębowiec
86257,Dębów
86258,Długie
86259,Długomiłowice
86260,Długosiodło
86261,Długołęka
86262,Dłutów
86263,Dźwierzuty
86264,Elbląg
86265,Ełk
86266,Fabianki
86267,Fajsławice
86268,Fałków
86269,Filipowice
86270,Filipów
86271,Firlej
86272,Fordon
86273,Frampol
86274,Fredropol
86275,Frombork
86276,Frydek
86277,Frydman
86278,Frydrychowice
86279,Frysztak
86280,Galewice
86281,Garbatka-Letnisko
86282,Garbów
86283,Garcz
86284,Gardawice
86285,Gardeja
86286,Garwolin
86287,Gaszowice
86288,Gaworzyce
86289,Gać
86290,Gałków Mały
86291,Gdańsk
86292,Gdynia
86293,Gdów
86294,Gidle
86295,Giebułtów
86296,Giedlarowa
86297,Gielniów
86298,Gierałtowice
86299,Gierałtowice
86300,Gierzwałd
86301,Gierłoż
86302,Gietrzwałd
86303,Gilowice
86304,Gizałki
86305,Giżycko
86306,Glinojeck
86307,Gliwice
86308,Gniazdów
86309,Gniechowice
86310,Gniew
86311,Gniewino
86312,Gniewkowo
86313,Gniezno
86314,Gnieżdżewo
86315,Gnojnik
86316,Gnojno
86317,Goczałkowice Zdrój
86318,Godzianów
86319,Godziszka
86320,Godziszów
86321,Godziszów Pierwszy
86322,Godów
86323,Gogolin
86324,Golcowa
86325,Golczewo
86326,Goleniów
86327,Goleszów
86328,Golina
86329,Golub-Dobrzyń
86330,Gomunice
86331,Goniadz
86332,Goraj
86333,Gorenice
86334,Gorlice
86335,Gorliczyna
86336,Gorzkowice
86337,Gorzków
86338,Gorzyce
86339,Gorzyce
86340,Gorzyce Wielkie
86341,Gorzyczki
86342,Gorzów Wielkopolski
86343,Gorzów Śląski
86344,Gostycyn
86345,Gostynin
86346,Gostyń
86347,Gostyń
86348,Goszczanów
86349,Goszczyn
86350,Gowarczów
86351,Goworowo
86352,Gozdnica
86353,Gozdowo
86354,Gołańcz
86355,Gołdap
86356,Gołkowice
86357,Gołuchów
86358,Gołymin-Ośrodek
86359,Gościcino
86360,Gościeradów
86361,Gościno
86362,Grabica
86363,Grabiszyn
86364,Grabiszynek
86365,Grabowiec
86366,Grabownica Starzeńska
86367,Grabowo Kościerskie
86368,Grabów
86369,Grabów nad Prosną
86370,Grajewo
86371,Granica
86372,Granowo
86373,Grodków
86374,Grodziec
