organization_name,startup_uuid,founder_name,linkedin_url,is_scrapped,is_scrapped_profile
24M Technologies,0112b68d-6b75-8007-4b9d-97bd478391c3,W. Craig Carter,https://www.linkedin.com/in/w-craig-carter-42808524,1,0
24M Technologies,0112b68d-6b75-8007-4b9d-97bd478391c3,Yet-Ming Chiang,https://www.linkedin.com/in/yet-ming-chiang-74aa3,1,0
High Road Craft Ice Cream,01384f65-1b61-472c-aa29-74a45d4eae43,Keith Schroeder,https://www.linkedin.com/in/keithschroeder/,1,0
High Road Craft Ice Cream,01384f65-1b61-472c-aa29-74a45d4eae43,Nicki Schroeder,https://www.linkedin.com/in/nickischroeder/,1,0
AdTheorent,015887d8-1cd1-4c94-0941-ad27ce721e8b,Anthony Iacovone,https://www.linkedin.com/in/anthony-iacovone-aa68093,1,0
AdTheorent,015887d8-1cd1-4c94-0941-ad27ce721e8b,Dogan Aksoy,https://www.linkedin.com/in/doganaksoy/,1,0
AdTheorent,015887d8-1cd1-4c94-0941-ad27ce721e8b,Josh Walsh,https://www.linkedin.com/in/joshuawalsh/,1,0
xtraCHEF,016321a5-d291-480a-8e14-624011a5b997,Andy Schwartz,https://www.linkedin.com/in/andy-schwartz-233b359,1,0
xtraCHEF,016321a5-d291-480a-8e14-624011a5b997,Bhavik Patel,https://www.linkedin.com/in/patelbhavik,1,0
xtraCHEF,016321a5-d291-480a-8e14-624011a5b997,Chaz Brown,https://www.linkedin.com/in/chaz-brown-04049821/,1,0
"LockPath, Inc.",0184683a-a496-613e-87e8-f22fb8076c8b,Chris Caldwell,https://www.linkedin.com/in/chrscldwll,1,0
"LockPath, Inc.",0184683a-a496-613e-87e8-f22fb8076c8b,Chris Goodwin,http://www.linkedin.com/in/hicmndr,1,0
Indigo Interactive,018c2d7b-9bf8-4fdd-3ef3-21970b6eb712,Helen Levinson,https://www.linkedin.com/in/helenlevinson,1,0
Indigo Interactive,018c2d7b-9bf8-4fdd-3ef3-21970b6eb712,Jamie Fiedler,https://www.linkedin.com/in/jamie-fiedler,1,0
Tactical Information Systems,019c3e1b-4907-7f45-9299-907ea117a445,Alex Kilpatrick,http://www.linkedin.com/in/alexkilpatrick,1,0
Tactical Information Systems,019c3e1b-4907-7f45-9299-907ea117a445,Mary Haskett,http://www.linkedin.com/in/maryhaskett,1,0
ePatientFinder,01cb020f-7f3a-612c-4cac-7c5446d72a60,Greg Sweatt,https://www.linkedin.com/in/greg-sweatt-a65855,1,0
ePatientFinder,01cb020f-7f3a-612c-4cac-7c5446d72a60,Tom Dorsett,http://www.linkedin.com/in/tdorsett,1,0
ePatientFinder,01cb020f-7f3a-612c-4cac-7c5446d72a60,Tushar Jain,https://www.linkedin.com/in/tjain251/,1,0
Kindly Care,01debd36-6a90-8038-a652-e7157f3a7950,Erik Fantasia,https://www.linkedin.com/in/fantasia/,1,0
Kindly Care,01debd36-6a90-8038-a652-e7157f3a7950,Igor Lebovic,http://www.linkedin.com/in/igorlebovic,1,0
Sourceress,01fd6261-fcb7-45d3-9e8e-ad72eb0f35b7,Kanjun Qiu,https://www.linkedin.com/in/kanjun/,1,0
Text IQ,0085d97e-60f1-bb67-0b94-50a37e3f092a,Apoorv Agarwal,https://www.linkedin.com/in/apoorv-agarwal-ph-d-7b539629/,1,0
Text IQ,0085d97e-60f1-bb67-0b94-50a37e3f092a,Omar Haroun,https://www.linkedin.com/in/omarharoun/,1,0
SaveUp,0088aa9f-4f51-e8b4-c084-a62fb7241076,Priya Haji,http://www.linkedin.com/in/priyahaji,1,0
