Organization Name,startup_uuid,Organization Name URL,Number of Founders,Founders
Codesmith,004070c6-7d63-5600-b71a-6b1d6364c9b5,https://www.crunchbase.com/organization/codesmith,3,"Alexander Zai, Chad Troutwine, Will Sentance"
Text IQ,0085d97e-60f1-bb67-0b94-50a37e3f092a,https://www.crunchbase.com/organization/text-iq,2,"Apoorv Agarwal, Omar Haroun"
SaveUp,0088aa9f-4f51-e8b4-c084-a62fb7241076,https://www.crunchbase.com/organization/saveup,2,"Priya Haji, Sammy Shreibati"
Tigera,009d8978-b302-c183-ead8-66993a5952ca,https://www.crunchbase.com/organization/tigera,3,"Alex Pollitt, Andrew Randall, Christopher Liljenstolpe"
Swing Education,00affa05-6c41-a982-003d-b3da26ca063b,https://www.crunchbase.com/organization/swing-education,2,"Asha Visweswaran, Mike Teng"
Lumere,00c45e8e-d324-4a33-bcff-9ed7ecd22514,https://www.crunchbase.com/organization/lumere,3,"Eric Meizlish, Hani Elias, William Danford"
Udacity,00d85dac-7a9d-ed45-7f53-1bcac9c7b6f9,https://www.crunchbase.com/organization/udacity,3,"David Stavens, Mike Sokolsky, Sebastian Thrun"
Karat,00edd45f-dda8-65ab-ede7-bf4f97ac5d3e,https://www.crunchbase.com/organization/karat,2,"Jeffrey Spector, Mohit Bhende"
Sentient Technologies,0104b004-f68f-b66d-1d6b-10e4ff8dec57,https://www.crunchbase.com/organization/sentient,4,"Adam Cheyer, Antoine Blondeau, Babak Hodjat, Peter Harrigan"
24M Technologies,0112b68d-6b75-8007-4b9d-97bd478391c3,https://www.crunchbase.com/organization/24m-technologies,2,"W. Craig Carter, Yet-Ming Chiang"
High Road Craft Ice Cream,01384f65-1b61-472c-aa29-74a45d4eae43,https://www.crunchbase.com/organization/high-road-craft-ice-cream,2,"Keith Schroeder, Nicki Schroeder"
AdTheorent,015887d8-1cd1-4c94-0941-ad27ce721e8b,https://www.crunchbase.com/organization/adtheorent,3,"Dogan Aksoy, Josh Walsh, Josh Walsh"
xtraCHEF,016321a5-d291-480a-8e14-624011a5b997,https://www.crunchbase.com/organization/xtrachef,2,"Andy Schwartz, Bhavik Patel"
"LockPath, Inc.",0184683a-a496-613e-87e8-f22fb8076c8b,https://www.crunchbase.com/organization/lockpath,2,"Chris Caldwell, Chris Goodwin"
Indigo Interactive,018c2d7b-9bf8-4fdd-3ef3-21970b6eb712,https://www.crunchbase.com/organization/indigo-interactive,2,"Helen Levinson, Jamie Fiedler"
Tactical Information Systems,019c3e1b-4907-7f45-9299-907ea117a445,https://www.crunchbase.com/organization/tactical-information-systems,2,"Alex Kilpatrick, Mary Haskett"
ePatientFinder,01cb020f-7f3a-612c-4cac-7c5446d72a60,https://www.crunchbase.com/organization/epatientfinder,3,"Greg Sweatt, Tom Dorsett, Tushar Jain"
Kindly Care,01debd36-6a90-8038-a652-e7157f3a7950,https://www.crunchbase.com/organization/kindly-care,2,"Erik Fantasia, Igor Lebovic"
Sourceress,01fd6261-fcb7-45d3-9e8e-ad72eb0f35b7,https://www.crunchbase.com/organization/sourceress,2,"Josh Albrecht, Kanjun Qiu"
Owlet Baby Care,0208e998-7b79-491a-1d5b-ab38c595d30a,https://www.crunchbase.com/organization/owlet,4,"Jacob Colvin, Jordan Monroe, Kurt Workman, Zack Bomsta"
Ripple Foods,020de179-6ab7-d33b-7931-50c2f3a943a9,https://www.crunchbase.com/organization/ripple-foods,2,"Adam Lowry, Neil Renninger"
"Zebit, Inc.",0220ac1d-dfdc-b140-bde7-18778600549f,https://www.crunchbase.com/organization/zebit-inc,2,"Marc Schneider, Michael Thiemann"
MyClean,0221c552-410b-249f-7254-c50ea4a34b47,https://www.crunchbase.com/organization/myclean-com,3,"Justin Geller, Michael Scharf, Mike Russell"
