organization_name,startup_uuid,founder_name,linkedin_url,is_scrapped,is_scrapped_profile
Accountable Healthcare Staffing,ff26f317-7978-0ee7-e453-ab73e9c8f795,Robert Adamson,https://www.linkedin.com/in/robert-s-adamson-90420b135,1,0
Accountingprose,c36ace75-a317-94c2-746c-289fd6f4bd36,Cristina Garza,https://www.linkedin.com/in/cristina-tina-garza-small-business-superhero-b5622124,1,0
AbilTo,82abc396-2401-7a5d-2114-64cbe369bdc6,Michael Laskoff,http://www.linkedin.com/pub/michael-b-laskoff/1/bb/741,1,0
305 Fitness,bd29feb2-1ff8-2276-be5c-3f6d89484de9,Sadie Kurzban,https://www.linkedin.com/in/sadie-kurzban-we-re-hiring-73a56a18/,1,0
Amind,24c22803-792d-5571-fbcc-46b307e1c824,Johanna Viklund,https://es.linkedin.com/pub/johanna-viklund/19/811/36b,1,0
Bimpies,87d11767-294f-4759-bbd0-7ecb63509996,John Chang,https://www.linkedin.com/in/changjohn/,1,0
blu eCigs,2eb730e3-f4c7-ab3f-9f0f-d6aa2125047d,Jason Healy,http://www.linkedin.com/pub/jason-healy/1/690/a8a/en,1,0
"Blue Moon Digital, Inc.",8c980274-288d-23c0-237b-bb6741457491,Cindy Brown,https://www.linkedin.com/in/cindybrownbluemoondigital/,1,0
Coastal Ridge Real Estate,4b33d3f7-bcfe-4393-96a7-474ec57e3e6c,Andrew Lallathin,https://www.linkedin.com/in/andrew-lallathin-b639163/,1,0
Code Ninja,768a3dd5-bf02-ea7f-43d8-81ecdcc3d419,David Rice,https://www.linkedin.com/in/derice,1,0
Defy Ventures,31011f80-8ab9-19bf-2d62-dd2e446a2a08,Catherine Hoke,http://www.linkedin.com/pub/catherine-hoke-rohr/33/357/29a,1,0
Delivering Happiness,e318877e-383a-0ade-41cb-b284168beb5d,Jenn Lim,https://www.linkedin.com/in/jennlim,1,0
Dojo,e0ce61ed-6d1f-738e-d9e8-2b8b8f00a222,Kelly Kampen,http://www.linkedin.com/in/kkampen,1,0
Evelar Solar,fdf3cb97-b245-4e02-8d3a-ab845c91440c,Spencer Angerbauer,https://www.linkedin.com/in/spencerangerbauer/,1,0
GreenThumb,28d004df-7fed-9c03-a167-14ab8e2cc941,Mohammed W. Alshootfa,http://www.linkedin.com/in/alshootfa,1,0
Growcentia,083f19a6-8bbe-fb4e-0a35-3eb68c46b674,Colin Bell,https://www.linkedin.com/in/colin-bell-phd-38734313,1,0
cbanc Network,78fa0fcf-2f90-f688-a3a2-522fa3f83683,Myers Dupuy,https://www.linkedin.com/in/myersdupuy/,1,0
Centro Global Solutions,3ef8bbfb-1958-498f-a118-38b1fcdad473,Sean Farag,https://www.linkedin.com/in/sean-farag-72b45559/,1,0
ChannelMeter,2ed4edb3-bd7c-8cea-6871-9d68c20b3141,Eugene Lee,https://www.linkedin.com/in/mynameiseugene,1,0
CustomersFirst Now,05000b13-c414-8923-2dc7-73cbae3bc1d8,Kerri K. Nelson,https://www.linkedin.com/in/kerri-k-nelson-47657b2/,1,0
El Rey Network,5df85749-9b86-a3bb-9530-1ef77330d32d,Robert Anthony Rodriguez,https://www.linkedin.com/in/robertr-agroads,1,0
