organization_name,startup_uuid,founder_name,linkedin_url,is_scrapped,is_scrapped_profile
CommandScape,24bd75bc-c384-29ae-8372-ba68dd808d54,,,1,0
Corvette Mods,2f5bcd08-293b-438a-831a-a8bc6d9f17ef,,,1,0
CrewFacilities,b62d72c1-8ead-e5d0-5725-ae1279a56bfe,,,1,0
Deep Eddy Vodka,70ff372d-8d5e-da08-c025-987195afcd2e,,,1,0
Diamond Foundry,34acc07a-7b49-0a25-1e63-f620fe6121c1,,,1,0
DISTRIBUTE,ef833965-0f73-4bd9-a00e-99bec13fbeba,,,1,0
Ditto,63943b7d-8e10-429f-543c-86658369b315,,,1,0
dot429,6d7b2350-494f-6b7c-95c1-dd578e06fffd,,,1,0
Ecinity,792e0528-0f71-4118-d0f9-e156121daf06,,,1,0
Effective Spend,49d8c7d0-c312-659c-3587-fa165b76d21e,,,1,0
Electus,2a4aea1d-378a-7161-1dc1-c2945f10abce,,,1,0
"Eniware, LLC",b3525135-00ad-1d7a-1f9b-cd3ca3bd2f9e,,,1,0
Epic Lift Systems,01f5edb2-1cc2-40b5-9038-90a13298359c,,,1,0
Fancy,ebdd2c11-ef29-f235-e28e-d80bc4c7e2bf,,,1,0
Fiksu,cbfce6d4-cf22-7561-e304-96288ce78f00,,,1,0
Formativ Health,6b8538f4-e336-4624-8d50-333b9b7416ea,,,1,0
Formativ Health,6b8538f4-e336-4624-8d50-333b9b7416ea,,,1,0
Forward,b949f912-fc3f-025a-d4a2-b30669353976,,,1,0
Frontier Healthcare,e9c009a7-6bdb-9d8a-edc5-81c97396bbc8,,,1,0
Fuel3D,f5911bad-8c99-b184-dd81-3998ada44c9a,,,1,0
Further,6719c779-a487-6bf2-8640-498ed8e7bfd9,,,1,0
Genitrust,975f272f-f47c-486e-a0ed-a026f461729c,,,1,0
Genomind,4d05bf72-e32a-ab52-5a1c-bf5fd97b7d3f,,,1,0
GenomOncology,97a719ac-70af-1ea4-ae47-e8c93854462b,,,1,0
GeoTraffic Network,d94c267e-ce1f-8927-403f-d21c567b6b20,,,1,0
