organization_name,startup_uuid,founder_name,linkedin_url,is_scrapped,is_scrapped_profile
MissionU,e2bd1222-b402-3434-86b0-da60dfb7bf3f,Adam Braun,https://www.linkedin.com/in/arbraun,TRUE,FALSE
DroneBase,04e76176-e151-ee6c-df29-926ce7c8e247,Daniel Burton,https://www.linkedin.com/in/daniel-burton-28711789,TRUE,FALSE
Vertify,07d62a0f-65e8-4f52-a5d6-1cd35ca610df,Matt Klepac,https://www.linkedin.com/in/matthew-klepac-mirabella-9206b825/,TRUE,FALSE
Fullbridge,0a1b0ccf-a7d7-108b-e64c-a08e2b0d8a0e,Peter Olson,http://www.linkedin.com/pub/peter-olson/b/537/732,TRUE,FALSE
Wurk,0b5c1058-a7d5-6a1c-b850-b414aad8b0b7,Keegan Peterson,https://www.linkedin.com/in/keeganpeterson,TRUE,FALSE
GoFormz,0d89990e-dadb-ab09-bcea-6f5142de7725,Jeff Fildey,http://www.linkedin.com/pub/jeffrey-fildey/0/267/67a,TRUE,FALSE
Turvo,0ea1155b-ea47-8bd0-e96f-94a7f20fa705,Jeff Dangelo,https://www.linkedin.com/in/jeff-dangelo-8a7107a/,TRUE,FALSE
TreeHouse,14ff884d-e458-8404-0eb5-2aa3a8524b99,Alan Johnson,https://www.linkedin.com/in/alan-johnson-246239155/,TRUE,FALSE
Pana,194ea37b-6b6e-b54a-82bf-765ef186bc41,Lianne Haug Espeland,https://www.linkedin.com/in/lianne-espeland-19189956,TRUE,FALSE
Clover Health,218bda65-0c8c-3bb9-30b5-0c001d41a6f0,Kris Gale,https://www.linkedin.com/in/kgale/,TRUE,FALSE
Call9,2250c61a-04b8-7e16-680f-72e2c97a888d,Celina Tenev,https://www.linkedin.com/in/celina-tenev-5781745b,TRUE,FALSE
Anyone Home,e0fb58ef-b6a8-657c-7426-4401732f0a93,Todd Katler,https://www.linkedin.com/in/toddkatler,TRUE,FALSE
Decisions,f4b08c2d-afd5-9866-3154-169536b41147,Carl Hewitt,https://www.linkedin.com/in/carlhewitt/,TRUE,FALSE
Alphabet Energy,f3ab5f49-c0c0-d45f-a13d-199b3d66dc00,Matthew Scullin,http://www.linkedin.com/in/mlscullin,TRUE,FALSE
Tome,f4094fd0-1a9f-54e8-0413-c7ecd4340218,Massimo Baldini,http://www.linkedin.com/in/massimobaldini,TRUE,FALSE
Alphabet Energy,f3ab5f49-c0c0-d45f-a13d-199b3d66dc00,Peidong Yang,https://www.linkedin.com/in/peidong-yang-604723a,TRUE,FALSE
Tome,f4094fd0-1a9f-54e8-0413-c7ecd4340218,Jake Sigal,https://www.linkedin.com/in/jakesigal,TRUE,FALSE
Ascendify,f3deef12-135f-4c9b-ad8b-dda582702a4b,Matt Hendrickson,http://www.linkedin.com/in/founder,TRUE,FALSE
Enlitic,cd92c985-3b55-58c3-e138-1c98f8b9b0ca,Jeremy Howard,https://www.linkedin.com/in/howardjeremy,TRUE,FALSE
Xapo,bd37bb60-a0a0-09f9-aa69-4d430de4028b,Thong Ngo,https://www.linkedin.com/,TRUE,FALSE
Ascendify,f3deef12-135f-4c9b-ad8b-dda582702a4b,Lauren Smith,https://www.linkedin.com/in/laurensmithascendify/,TRUE,FALSE
Zeguro,cd90505b-e75f-aeda-32ac-48ed7f9f5880,Siddhartha Gavirneni,https://www.linkedin.com/in/siddgavirneni/,TRUE,FALSE
dv01,f3c2b687-9385-9814-ead3-1f355629906a,Perry Rahbar,https://www.linkedin.com/in/perryrahbar/,TRUE,FALSE
GovPredict,ca51c248-b907-b20b-bd0c-0d0cbd07f615,Emil Pitkin,https://www.linkedin.com/in/emilpitkin,TRUE,FALSE
SynapseFI,caf6a7fb-dc07-25a2-6c38-cf7cb6f68ea5,Akl Fahed,https://www.linkedin.com/in/akl-fahed-57527343/,TRUE,FALSE
Zeguro,cd90505b-e75f-aeda-32ac-48ed7f9f5880,Dan Smith,https://www.linkedin.com/in/dansmi,TRUE,FALSE
Cask,cd6a3637-f0ae-9523-a111-ff18ba64c9cb,Todd Papaioannou,http://www.linkedin.com/pub/todd-papaioannou/0/700/981,TRUE,FALSE
Zenyx Inc.,cd7905cb-1dab-ec66-3c38-f642e1d639f4,Srikant Sharma,https://www.linkedin.com/in/srikantsharma,TRUE,FALSE
SchoolMint,f3a49d6d-3346-5deb-ec46-a1bf46c1076d,Jinal Jhaveri,http://www.linkedin.com/in/jhaveri,TRUE,FALSE
Alphabet Energy,f3ab5f49-c0c0-d45f-a13d-199b3d66dc00,Adam Lorimer,http://www.linkedin.com/pub/adam-lorimer/3/739/955,TRUE,FALSE
WeKanCode,01c04deb-18a8-3fde-142b-dbd80d56ead1,Sathya Nellore Sampat,https://www.linkedin.com/in/sathyanarayanaa/,TRUE,FALSE
Zenyx Inc.,cd7905cb-1dab-ec66-3c38-f642e1d639f4,Vinay Khosla,https://www.linkedin.com/in/vinaykhosla,TRUE,FALSE
ProSomnus Sleep Technologies,e2826333-840d-4b67-b90b-20259cec1dd7,Len Liptak,https://www.linkedin.com/in/len-liptak-3716/,TRUE,FALSE
Sightly,e2651234-8c8e-e66d-54f2-60ee00fc75cc,John Zdanowski,http://www.linkedin.com/in/johnzdanowski/,TRUE,FALSE
Instrumental,f574c096-800f-02a4-f294-3ee8de02f61d,Anna-Katrina Shedletsky,https://www.linkedin.com/in/anna-katrina-shedletsky-3577b835,TRUE,FALSE
Romeo Power,f530570a-c8a0-53dd-1da2-bf82ef1f7845,Porter Harris,https://www.linkedin.com/in/porter-harris-39868312/,TRUE,FALSE
Romeo Power,f530570a-c8a0-53dd-1da2-bf82ef1f7845,Michael Patterson,https://www.linkedin.com/in/michaelpatterson4/,TRUE,FALSE
Romeo Power,f530570a-c8a0-53dd-1da2-bf82ef1f7845,"Lady Benjamin Cannon, A.S.C.E.",https://www.linkedin.com/in/ladybenjamin/,TRUE,FALSE
Sightly,e2651234-8c8e-e66d-54f2-60ee00fc75cc,John McIntyre,https://www.linkedin.com/in/johncmcintyre/,TRUE,FALSE
Appthority,f4be97c8-0649-2bee-86da-e362bd4c9bfa,Kevin Watkins,http://www.linkedin.com/in/kwatkins,TRUE,FALSE
Appthority,f4be97c8-0649-2bee-86da-e362bd4c9bfa,Domingo Guerra,http://www.linkedin.com/in/domingoguerra,TRUE,FALSE
Appthority,f4be97c8-0649-2bee-86da-e362bd4c9bfa,Anthony Bettini,https://www.linkedin.com/in/anthonybettini,TRUE,FALSE
Kuli Kuli,f4bb4a3f-5b27-3fea-c92a-76dbe96adaf5,Valerie Popelka,https://www.linkedin.com/in/vpopelka,TRUE,FALSE
Kuli Kuli,f4bb4a3f-5b27-3fea-c92a-76dbe96adaf5,Lisa Curtis,http://www.linkedin.com/in/lisamariecurtis,TRUE,FALSE
Kuli Kuli,f4bb4a3f-5b27-3fea-c92a-76dbe96adaf5,Jordan Moncharmont,https://www.linkedin.com/in/jormon,TRUE,FALSE
Mango Health,e23712d7-4837-3e6d-3468-7f7a39c50de2,Jason Oberfest,https://www.linkedin.com/in/jasonoberfest,TRUE,FALSE
Connect6,e1c07c7c-cff8-cac2-8769-81b69a36881b,Vik Kashyap,http://www.linkedin.com/in/vikramkashyap,TRUE,FALSE
Kuli Kuli,f4bb4a3f-5b27-3fea-c92a-76dbe96adaf5,Anne Tsuei,https://www.linkedin.com/in/itsjustanne,TRUE,FALSE
Connect6,e1c07c7c-cff8-cac2-8769-81b69a36881b,Dean Nicolls,http://www.linkedin.com/in/deannicolls,TRUE,FALSE
Decisions,f4b08c2d-afd5-9866-3154-169536b41147,Kevin Lindquist,https://www.linkedin.com/in/kevinlindquist,TRUE,FALSE
MusclePharm,e15dcb77-164e-ea36-64a3-3bcc51549cb4,Cory Gregory,https://www.linkedin.com/in/cory-gregory-7a887b110,TRUE,FALSE
Decisions,f4b08c2d-afd5-9866-3154-169536b41147,Heath Oderman,https://www.linkedin.com/in/heath-oderman-21b88a1/,TRUE,FALSE
MusclePharm,e15dcb77-164e-ea36-64a3-3bcc51549cb4,Brad Pyatt,https://www.linkedin.com/in/brad-pyatt-24a5bb117/,TRUE,FALSE
